Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
Fluttering Breeze,Desconhecido,Desconhecido,Desconhecido,11,"R$ 6.344,42","R$ 174,44","R$ 0,00","R$ 6.169,98"
Exalted Bladeform Legacy,Desconhecido,Desconhecido,Desconhecido,52,"R$ 6.031,85","R$ 631,15","R$ 0,00","R$ 5.400,70"
TODAS AS ARCANAS E PERSONAS EXCLUSIVAS,Desconhecido,Desconhecido,Desconhecido,1,"R$ 4.650,00","R$ 0,00","R$ 0,00","R$ 4.650,00"
Fiery Soul of the Slayer,Desconhecido,Desconhecido,Desconhecido,44,"R$ 4.403,39","R$ 272,59","R$ 0,00","R$ 4.130,80"
Frost Avalanche,Desconhecido,Desconhecido,Desconhecido,188,"R$ 14.313,91","R$ 10.433,66","R$ 0,00","R$ 3.880,25"
Tempest Helm of the Thundergod,Desconhecido,Desconhecido,Desconhecido,32,"R$ 4.180,59","R$ 308,40","R$ 0,00","R$ 3.872,19"
Manifold Paradox LVL 3,Desconhecido,Desconhecido,Desconhecido,26,"R$ 3.856,75","R$ 318,40","R$ 0,00","R$ 3.538,35"
Blades of Voth Domosh,Desconhecido,Desconhecido,Desconhecido,30,"R$ 3.780,84","R$ 248,87","R$ 0,00","R$ 3.531,97"
The Resurrection of Shen - Wings,Desconhecido,Desconhecido,Desconhecido,38,"R$ 3.452,88","R$ 81,85","R$ 0,00","R$ 3.371,03"
Manifold Paradox,Desconhecido,Desconhecido,Desconhecido,26,"R$ 3.222,73","R$ 73,09","R$ 0,00","R$ 3.149,64"
Demon Eater,Desconhecido,Desconhecido,Desconhecido,34,"R$ 3.101,81","R$ 295,93","R$ 0,00","R$ 2.805,88"
Exalted The Magus Cypher,Desconhecido,Desconhecido,Desconhecido,22,"R$ 2.898,97","R$ 154,27","R$ 0,00","R$ 2.744,70"
Feast of Abscession,Desconhecido,Desconhecido,Desconhecido,29,"R$ 3.343,74","R$ 621,96","R$ 0,00","R$ 2.721,78"
Vigil Triumph,Desconhecido,Desconhecido,Desconhecido,8,"R$ 2.828,29","R$ 124,52","R$ 0,00","R$ 2.703,77"
The Devotions of Dragonus - Wings,Desconhecido,Desconhecido,Desconhecido,31,"R$ 2.820,18","R$ 157,04","R$ 0,00","R$ 2.663,14"
